Currency,Date,Open,High,Low,Close,Volume,Market Cap
tezos,"Dec 04, 2019",1.29,1.32,1.25,1.25,46048752.00,824588509.00
tezos,"Dec 03, 2019",1.24,1.32,1.21,1.29,41462224.00,853213342.00
tezos,"Dec 02, 2019",1.25,1.26,1.20,1.24,27574097.00,817872179.00
tezos,"Dec 01, 2019",1.33,1.34,1.25,1.25,24127567.00,828296390.00
tezos,"Nov 30, 2019",1.31,1.37,1.31,1.33,28706667.00,879181680.00
tezos,"Nov 29, 2019",1.28,1.34,1.28,1.31,32270224.00,867085098.00
tezos,"Nov 28, 2019",1.26,1.35,1.22,1.28,44240281.00,845073679.00
tezos,"Nov 27, 2019",1.24,1.27,1.16,1.26,47723271.00,829672736.00
tezos,"Nov 26, 2019",1.24,1.28,1.23,1.24,54828808.00,822065277.00
tezos,"Nov 25, 2019",1.33,1.33,1.21,1.24,64954006.00,815688075.00
tezos,"Nov 24, 2019",1.40,1.42,1.31,1.34,49206070.00,887731654.00
tezos,"Nov 23, 2019",1.22,1.42,1.22,1.39,123832790.00,920735790.00
tezos,"Nov 22, 2019",1.21,1.28,1.08,1.22,69312275.00,804427044.00
tezos,"Nov 21, 2019",1.21,1.29,1.18,1.21,53020027.00,800257863.00
tezos,"Nov 20, 2019",1.22,1.25,1.17,1.21,33605071.00,801174969.00
tezos,"Nov 19, 2019",1.23,1.25,1.15,1.22,35796763.00,805231584.00
tezos,"Nov 18, 2019",1.16,1.26,1.16,1.23,37602915.00,813744878.00
tezos,"Nov 17, 2019",1.16,1.18,1.15,1.16,22483167.00,767707353.00
tezos,"Nov 16, 2019",1.17,1.18,1.16,1.16,26689028.00,768303560.00
tezos,"Nov 15, 2019",1.22,1.26,1.15,1.17,32203363.00,773992543.00
tezos,"Nov 14, 2019",1.13,1.30,1.11,1.22,41978349.00,808582829.00
tezos,"Nov 13, 2019",1.17,1.17,1.12,1.13,23410839.00,746750215.00
tezos,"Nov 12, 2019",1.18,1.20,1.15,1.17,23591140.00,771905281.00
tezos,"Nov 11, 2019",1.23,1.24,1.17,1.18,25012739.00,776358941.00
tezos,"Nov 10, 2019",1.25,1.25,1.19,1.23,31134799.00,812505004.00
tezos,"Nov 09, 2019",1.17,1.26,1.15,1.24,34760712.00,819630519.00
tezos,"Nov 08, 2019",1.22,1.28,1.12,1.17,44195683.00,770094896.00
tezos,"Nov 07, 2019",1.02,1.44,1.02,1.22,92805360.00,805246128.00
tezos,"Nov 06, 2019",0.93,1.05,0.90,1.02,26095931.00,673756212.00
tezos,"Nov 05, 2019",0.89,0.93,0.88,0.93,13420498.00,612256490.00
tezos,"Nov 04, 2019",0.87,0.91,0.86,0.89,16511023.00,588922638.00
tezos,"Nov 03, 2019",0.87,0.87,0.85,0.87,11444717.00,573784519.00
tezos,"Nov 02, 2019",0.88,0.89,0.86,0.87,9944483.00,571571532.00
tezos,"Nov 01, 2019",0.89,0.89,0.86,0.88,12684201.00,579768933.00
